Relative_Time_sec,Bitrate_kbps,Buffer_sec,Rebuffer_Events,Play_Delay_ms
1.35,4953,NaN,1,0
2.83,4953,3.57,1,1386
3.61,4953,5.97,1,1386
4.38,4953,9.20,1,1386
5.07,4953,12.66,1,1386
5.54,4953,16.09,1,1386
6.27,4953,19.29,1,1386
6.88,4953,22.78,1,1386
7.37,4953,26.23,1,1386
7.90,4953,29.71,1,1386
8.48,4953,33.17,1,1386
9.24,4953,36.30,1,1386
9.83,4953,39.78,1,1386
10.46,4953,43.02,1,1386
11.17,4953,46.50,1,1386
11.61,4953,49.95,1,1386
12.94,4953,52.70,1,1386
13.59,4953,56.02,1,1386
14.13,4953,59.73,1,1386
