Relative_Time_sec,Bitrate_kbps,Buffer_sec,Rebuffer_Events,Play_Delay_ms
2.21,4953,NaN,1,0
3.30,4953,3.20,1,2253
4.20,4953,6.41,1,2253
5.29,4953,9.32,1,2253
6.20,4953,12.27,1,2253
6.86,4953,15.52,1,2253
7.81,4953,18.73,1,2253
8.67,4953,21.64,1,2253
9.52,4953,24.85,1,2253
10.49,4953,27.97,1,2253
11.26,4953,31.14,1,2253
11.90,4953,34.60,1,2253
13.33,4953,37.07,1,2253
14.04,4953,40.49,1,2253
14.62,4953,43.96,1,2253
15.03,4953,47.41,1,2253
15.53,4953,50.90,1,2253
16.14,4953,54.39,1,2253
63.21,3134,11.27,1,2253
67.08,3134,11.26,1,2253
