Relative_Time_sec,Bitrate_kbps,Buffer_sec,Rebuffer_Events,Play_Delay_ms
0.69,4953,NaN,1,0
1.45,4953,3.44,1,771
3.86,4953,5.00,1,771
5.92,4953,7.10,1,771
8.05,4953,9.25,1,771
9.69,4953,11.33,1,771
12.10,4953,12.94,1,771
14.39,4953,14.51,1,771
16.57,4953,16.31,1,771
18.69,4953,18.43,1,771
20.45,4953,20.59,1,771
23.05,4953,21.92,1,771
25.19,4953,23.72,1,771
27.70,4953,25.25,1,771
29.82,4953,27.12,1,771
32.49,4953,28.34,1,771
36.42,4953,28.38,1,771
58.84,3134,10.18,1,771
62.56,3134,10.43,1,771
