Relative_Time_sec,Bitrate_kbps,Buffer_sec,Rebuffer_Events,Play_Delay_ms
1.14,4953,NaN,1,0
3.23,4953,2.88,1,1216
4.50,4953,5.49,1,1216
5.74,4953,8.40,1,1216
6.84,4953,11.23,1,1216
7.55,4953,14.47,1,1216
8.53,4953,17.61,1,1216
9.34,4953,20.54,1,1216
10.29,4953,23.72,1,1216
11.21,4953,26.66,1,1216
12.26,4953,29.73,1,1216
13.24,4953,32.58,1,1216
13.98,4953,36.07,1,1216
14.95,4953,38.97,1,1216
49.82,3134,8.04,1,1216
51.37,3134,10.65,1,1216
55.01,3134,10.86,1,1216
59.02,3134,10.80,1,1216
