Relative_Time_sec,Bitrate_kbps,Buffer_sec,Rebuffer_Events,Play_Delay_ms
1.39,4953,NaN,1,0
2.44,4953,3.20,1,1488
3.08,4953,6.69,1,1488
3.54,4953,10.15,1,1488
4.12,4953,13.62,1,1488
4.52,4953,17.07,1,1488
6.15,4953,19.77,1,1488
6.86,4953,22.76,1,1488
7.61,4953,26.21,1,1488
8.30,4953,29.38,1,1488
8.70,4953,32.86,1,1488
9.29,4953,36.36,1,1488
9.94,4953,39.83,1,1488
10.60,4953,43.07,1,1488
11.11,4953,46.52,1,1488
11.54,4953,50.27,1,1488
12.04,4953,53.73,1,1488
12.97,4953,56.85,1,1488
14.46,4953,59.18,1,1488
18.53,4953,59.05,1,1488
22.58,4953,59.22,1,1488
26.55,4953,59.07,1,1488
30.57,4953,59.48,1,1488
34.14,4953,59.47,1,1488
38.58,4953,59.21,1,1488
42.17,4953,59.48,1,1488
46.27,4953,59.36,1,1488
50.76,4953,58.89,1,1488
54.34,4953,59.26,1,1488
58.37,4953,59.19,1,1488
62.69,4953,59.30,1,1488
