Relative_Time_sec,Bitrate_kbps,Buffer_sec,Rebuffer_Events,Play_Delay_ms
0.64,4953,NaN,1,0
1.36,4953,3.48,1,672
1.81,4953,6.93,1,672
2.40,4953,10.42,1,672
3.07,4953,13.88,1,672
3.52,4953,17.36,1,672
4.06,4953,20.83,1,672
4.62,4953,24.58,1,672
5.10,4953,27.80,1,672
5.59,4953,31.28,1,672
6.01,4953,34.77,1,672
6.56,4953,38.51,1,672
7.18,4953,41.74,1,672
7.77,4953,45.22,1,672
8.40,4953,48.44,1,672
8.80,4953,52.18,1,672
9.31,4953,55.66,1,672
10.04,4953,58.93,1,672
13.50,4953,59.35,1,672
17.53,4953,59.43,1,672
21.56,4953,59.27,1,672
25.49,4953,59.43,1,672
29.41,4953,59.48,1,672
33.47,4953,59.36,1,672
37.38,4953,59.54,1,672
41.84,4953,59.13,1,672
45.93,4953,58.97,1,672
50.32,4953,59.07,1,672
53.63,4953,59.18,1,672
57.67,4953,59.50,1,672
61.71,4953,59.17,1,672
